timestamp;dVperiodical;dVcompelled;volume;Serial/Compelled;dVsum;date;currentVolume;MaxVolume
1766386641; 0           ;            ; 5850.00;;0.0;2025-12-22;4840.0;4800.0
1766386641; 0           ;            ; 5850.00;;0.0;2025-12-22;4840.0;4800.0
1766386645; 16          ;            ; 5834.00;P;16.0;2025-12-22;4840.0;4800.0
1766386648;             ; 0          ; 5834.00;;0.0;2025-12-22;4840.0;4800.0
1766386649;             ; -3         ; 5837.00;;-3.0;2025-12-22;4840.0;4800.0
1766386649;             ; 6          ; 5831.00;C;6.0;2025-12-22;4840.0;4800.0
1766386650;             ; -1         ; 5832.00;;-1.0;2025-12-22;4840.0;4800.0
1766386650;             ; 1          ; 5831.00;C;1.0;2025-12-22;4840.0;4800.0
1766386651;             ; 4          ; 5827.00;C;4.0;2025-12-22;4840.0;4800.0
1766386660; -9          ;            ; 5836.00;;-9.0;2025-12-22;4840.0;4800.0
1766386665;             ; 1          ; 5835.00;C;1.0;2025-12-22;4840.0;4800.0
1766386666;             ; 0          ; 5835.00;;0.0;2025-12-22;4840.0;4800.0
1766386667;             ; 0          ; 5835.00;;0.0;2025-12-22;4840.0;4800.0
1766386668;             ; 0          ; 5835.00;;0.0;2025-12-22;4840.0;4800.0
1766386668;             ; 0          ; 5835.00;;0.0;2025-12-22;4840.0;4800.0
1766386669;             ; -1         ; 5836.00;;-1.0;2025-12-22;4840.0;4800.0
1766386674;             ; -15        ; 5851.00;;-15.0;2025-12-22;4840.0;4800.0
1766386676;             ; 2          ; 5849.00;C;2.0;2025-12-22;4840.0;4800.0
1766386676; 9           ;            ; 5840.00;P;9.0;2025-12-22;4840.0;4800.0
1766386676;             ; 0          ; 5840.00;;0.0;2025-12-22;4840.0;4800.0
1766386677;             ; 0          ; 5840.00;;0.0;2025-12-22;4840.0;4800.0
1766386678;             ; 0          ; 5840.00;;0.0;2025-12-22;4840.0;4800.0
1766386681;             ; 0          ; 5840.00;;0.0;2025-12-22;4840.0;4800.0
1766386683;             ; -19        ; 5859.00;;-19.0;2025-12-22;4840.0;4800.0
1766386684;             ; 20         ; 5839.00;C;20.0;2025-12-22;4840.0;4800.0
1766386684;             ; 1          ; 5838.00;C;1.0;2025-12-22;4840.0;4800.0
1766386685;             ; -31        ; 5869.00;;-31.0;2025-12-22;4840.0;4800.0
1766386688;             ; 2          ; 5867.00;C;2.0;2025-12-22;4840.0;4800.0
1766386689;             ; 6          ; 5861.00;C;6.0;2025-12-22;4840.0;4800.0
1766386689;             ; 0          ; 5861.00;;0.0;2025-12-22;4840.0;4800.0
1766386690;             ; 12         ; 5849.00;C;12.0;2025-12-22;4840.0;4800.0
1766386690;             ; -1         ; 5850.00;;-1.0;2025-12-22;4840.0;4800.0
1766386690;             ; -7         ; 5857.00;;-7.0;2025-12-22;4840.0;4800.0
1766386691;             ; 12         ; 5845.00;C;12.0;2025-12-22;4840.0;4800.0
1766386692;             ; 7          ; 5838.00;C;7.0;2025-12-22;4840.0;4800.0
1766386692; 0           ;            ; 5838.00;;0.0;2025-12-22;4840.0;4800.0
1766386692;             ; 0          ; 5838.00;;0.0;2025-12-22;4840.0;4800.0
1766386694;             ; -17        ; 5855.00;;-17.0;2025-12-22;4840.0;4800.0
1766386694;             ; 3          ; 5852.00;C;3.0;2025-12-22;4840.0;4800.0
1766386695;             ; -17        ; 5869.00;;-17.0;2025-12-22;4840.0;4800.0
1766386696;             ; 7          ; 5862.00;C;7.0;2025-12-22;4840.0;4800.0
1766386697;             ; -10        ; 5872.00;;-10.0;2025-12-22;4840.0;4800.0
1766386698;             ; -18        ; 5890.00;;-18.0;2025-12-22;4840.0;4800.0
1766390450; 0           ;            ; 5890.00;;0.0;2025-12-22;4840.0;4800.0
1766390450; 0           ;            ; 5890.00;;0.0;2025-12-22;4840.0;4800.0
1766390454;             ; 0          ; 5890.00;;0.0;2025-12-22;4840.0;4800.0
1766390456;             ; 0          ; 5890.00;;0.0;2025-12-22;4840.0;4800.0
